asset_kind,id,route_slug,local_file_name,source_rel_path,planned_drive_folder,drive_file_id,drive_file_url,privacy,notes
long_form_video,lo-longform-01,lo-development-series-1003-mistakes-to-avoid-2026-05-18-12-39-pdt-recording,LO Development Series_ 1003 Mistakes to Avoid - 2026_05_18 12_39 PDT - Recording.mp4,LF-Projects-Folder/LO Development/Training Long Form Videos & Time Stamp Gemini Reports/LO Development Series_ 1003 Mistakes to Avoid - 2026_05_18 12_39 PDT - Recording.mp4,Long Form Training Videos,,,"restricted (link, not public)",Source recording (source_key: 1003-mistakes)
long_form_video,lo-longform-02,lo-kickoff-call-2026-05-20-10-53-pdt-recording,LO Kickoff Call - 2026_05_20 10_53 PDT - Recording.mp4,LF-Projects-Folder/LO Development/Training Long Form Videos & Time Stamp Gemini Reports/LO Kickoff Call - 2026_05_20 10_53 PDT - Recording.mp4,Long Form Training Videos,,,"restricted (link, not public)",Source recording (source_key: lo-kickoff)
long_form_video,lo-longform-03,lo-onboarding-series-compensation-and-fees-2026-02-06-09-47-pst-recording,LO Onboarding Series_ Compensation & Fees - 2026_02_06 09_47 PST - Recording.mp4,LF-Projects-Folder/LO Development/Training Long Form Videos & Time Stamp Gemini Reports/LO Onboarding Series_ Compensation & Fees - 2026_02_06 09_47 PST - Recording.mp4,Long Form Training Videos,,,"restricted (link, not public)",Source recording (source_key: compensation-fees)
long_form_video,lo-longform-04,lo-onboarding-series-leads-and-marketing-2026-03-05-09-54-pst-recording,LO Onboarding Series_ Leads & Marketing - 2026_03_05 09_54 PST - Recording.mp4,LF-Projects-Folder/LO Development/Training Long Form Videos & Time Stamp Gemini Reports/LO Onboarding Series_ Leads & Marketing - 2026_03_05 09_54 PST - Recording.mp4,Long Form Training Videos,,,"restricted (link, not public)",Source recording (source_key: leads-marketing)
long_form_video,lo-longform-05,lo-onboarding-series-loans-highly-recommended-2026-02-26-09-51-pst-recording,LO Onboarding Series_ Loans (Highly Recommended) - 2026_02_26 09_51 PST - Recording.mp4,LF-Projects-Folder/LO Development/Training Long Form Videos & Time Stamp Gemini Reports/LO Onboarding Series_ Loans (Highly Recommended) - 2026_02_26 09_51 PST - Recording.mp4,Long Form Training Videos,,,"restricted (link, not public)",Source recording (source_key: loans-onboarding)
long_form_video,lo-longform-06,q-and-a-post-training-loans-los-2026-05-22-09-52-pdt-recording,Q&A (Post-Training)_ Loans (LOS) - 2026_05_22 09_52 PDT - Recording.mp4,LF-Projects-Folder/LO Development/Training Long Form Videos & Time Stamp Gemini Reports/Q&A (Post-Training)_ Loans (LOS) - 2026_05_22 09_52 PDT - Recording.mp4,Long Form Training Videos,,,"restricted (link, not public)",Source recording (source_key: loans-qa)
long_form_video,lo-longform-07,q-and-a-post-training-pricing-los-2026-05-15-09-51-pdt-recording,Q&A (Post-Training)_ Pricing (LOS) - 2026_05_15 09_51 PDT - Recording.mp4,LF-Projects-Folder/LO Development/Training Long Form Videos & Time Stamp Gemini Reports/Q&A (Post-Training)_ Pricing (LOS) - 2026_05_15 09_51 PDT - Recording.mp4,Long Form Training Videos,,,"restricted (link, not public)",Source recording (source_key: pricing-qa)
long_form_markdown,lo-longform-01-notes,lo-development-series-1003-mistakes-to-avoid-2026-05-18-12-39-pdt-recording,LO Development Series_ 1003 Mistakes to Avoid - 2026_05_18 12_39 PDT - Recording.md,LF-Projects-Folder/LO Development/Training Long Form Videos & Time Stamp Gemini Reports/LO Development Series_ 1003 Mistakes to Avoid - 2026_05_18 12_39 PDT - Recording.md,Markdown Notes,,,"restricted (link, not public)",Gemini timestamp/notes report (source_key: 1003-mistakes)
long_form_markdown,lo-longform-02-notes,lo-kickoff-call-2026-05-20-10-53-pdt-recording,LO Kickoff Call - 2026_05_20 10_53 PDT - Recording.md,LF-Projects-Folder/LO Development/Training Long Form Videos & Time Stamp Gemini Reports/LO Kickoff Call - 2026_05_20 10_53 PDT - Recording.md,Markdown Notes,,,"restricted (link, not public)",Gemini timestamp/notes report (source_key: lo-kickoff)
long_form_markdown,lo-longform-03-notes,lo-onboarding-series-compensation-and-fees-2026-02-06-09-47-pst-recording,LO Onboarding Series_ Compensation & Fees - 2026_02_06 09_47 PST - Recording.md,LF-Projects-Folder/LO Development/Training Long Form Videos & Time Stamp Gemini Reports/LO Onboarding Series_ Compensation & Fees - 2026_02_06 09_47 PST - Recording.md,Markdown Notes,,,"restricted (link, not public)",Gemini timestamp/notes report (source_key: compensation-fees)
long_form_markdown,lo-longform-04-notes,lo-onboarding-series-leads-and-marketing-2026-03-05-09-54-pst-recording,LO Onboarding Series_ Leads & Marketing - 2026_03_05 09_54 PST - Recording.md,LF-Projects-Folder/LO Development/Training Long Form Videos & Time Stamp Gemini Reports/LO Onboarding Series_ Leads & Marketing - 2026_03_05 09_54 PST - Recording.md,Markdown Notes,,,"restricted (link, not public)",Gemini timestamp/notes report (source_key: leads-marketing)
long_form_markdown,lo-longform-05-notes,lo-onboarding-series-loans-highly-recommended-2026-02-26-09-51-pst-recording,LO Onboarding Series_ Loans (Highly Recommended) - 2026_02_26 09_51 PST - Recording.md,LF-Projects-Folder/LO Development/Training Long Form Videos & Time Stamp Gemini Reports/LO Onboarding Series_ Loans (Highly Recommended) - 2026_02_26 09_51 PST - Recording.md,Markdown Notes,,,"restricted (link, not public)",Gemini timestamp/notes report (source_key: loans-onboarding)
long_form_markdown,lo-longform-06-notes,q-and-a-post-training-loans-los-2026-05-22-09-52-pdt-recording,Q&A (Post-Training)_ Loans (LOS) - 2026_05_22 09_52 PDT - Recording.md,LF-Projects-Folder/LO Development/Training Long Form Videos & Time Stamp Gemini Reports/Q&A (Post-Training)_ Loans (LOS) - 2026_05_22 09_52 PDT - Recording.md,Markdown Notes,,,"restricted (link, not public)",Gemini timestamp/notes report (source_key: loans-qa)
long_form_markdown,lo-longform-07-notes,q-and-a-post-training-pricing-los-2026-05-15-09-51-pdt-recording,Q&A (Post-Training)_ Pricing (LOS) - 2026_05_15 09_51 PDT - Recording.md,LF-Projects-Folder/LO Development/Training Long Form Videos & Time Stamp Gemini Reports/Q&A (Post-Training)_ Pricing (LOS) - 2026_05_15 09_51 PDT - Recording.md,Markdown Notes,,,"restricted (link, not public)",Gemini timestamp/notes report (source_key: pricing-qa)
clip_video,lo-dev-001,using-the-loan-factory-ai-assistant,ai-support__using-the-loan-factory-ai-assistant__1003-mistakes.mp4,LF-Projects-Folder/LO Development/LO Development Platform Cutdown Library/videos/ai-support__using-the-loan-factory-ai-assistant__1003-mistakes.mp4,Cutdown Clip Library,,,"restricted (link, not public)",Using the Loan Factory AI Assistant | playlist: LO Development Resource Clips
clip_thumbnail,lo-dev-001,using-the-loan-factory-ai-assistant,ai-support__using-the-loan-factory-ai-assistant__1003-mistakes.jpg,LF-Projects-Folder/LO Development/LO Development Platform Cutdown Library/thumbnails/ai-support__using-the-loan-factory-ai-assistant__1003-mistakes.jpg,Thumbnails,,,"restricted (link, not public)",Thumbnail for lo-dev-001
clip_caption,lo-dev-001,using-the-loan-factory-ai-assistant,ai-support__using-the-loan-factory-ai-assistant__1003-mistakes.srt,LF-Projects-Folder/LO Development/LO Development Platform Cutdown Library/captions/ai-support__using-the-loan-factory-ai-assistant__1003-mistakes.srt,Captions,,,"restricted (link, not public)",Caption for lo-dev-001
clip_markdown,lo-dev-001,using-the-loan-factory-ai-assistant,ai-support__using-the-loan-factory-ai-assistant__1003-mistakes.md,LF-Projects-Folder/LO Development/LO Development Platform Cutdown Library/markdown/ai-support__using-the-loan-factory-ai-assistant__1003-mistakes.md,Markdown Notes,,,"restricted (link, not public)",Markdown notes for lo-dev-001
clip_video,lo-dev-002,why-loans-die-appraised-value-mistake,first-file-survival-guide__why-loans-die-appraised-value-mistake__1003-mistakes.mp4,LF-Projects-Folder/LO Development/LO Development Platform Cutdown Library/videos/first-file-survival-guide__why-loans-die-appraised-value-mistake__1003-mistakes.mp4,Cutdown Clip Library,,,"restricted (link, not public)",Why Loans Die: Appraised Value Mistake | playlist: LO Development Resource Clips
clip_thumbnail,lo-dev-002,why-loans-die-appraised-value-mistake,first-file-survival-guide__why-loans-die-appraised-value-mistake__1003-mistakes.jpg,LF-Projects-Folder/LO Development/LO Development Platform Cutdown Library/thumbnails/first-file-survival-guide__why-loans-die-appraised-value-mistake__1003-mistakes.jpg,Thumbnails,,,"restricted (link, not public)",Thumbnail for lo-dev-002
clip_caption,lo-dev-002,why-loans-die-appraised-value-mistake,first-file-survival-guide__why-loans-die-appraised-value-mistake__1003-mistakes.srt,LF-Projects-Folder/LO Development/LO Development Platform Cutdown Library/captions/first-file-survival-guide__why-loans-die-appraised-value-mistake__1003-mistakes.srt,Captions,,,"restricted (link, not public)",Caption for lo-dev-002
clip_markdown,lo-dev-002,why-loans-die-appraised-value-mistake,first-file-survival-guide__why-loans-die-appraised-value-mistake__1003-mistakes.md,LF-Projects-Folder/LO Development/LO Development Platform Cutdown Library/markdown/first-file-survival-guide__why-loans-die-appraised-value-mistake__1003-mistakes.md,Markdown Notes,,,"restricted (link, not public)",Markdown notes for lo-dev-002
clip_video,lo-dev-003,lo-responsibilities-walking-the-1003,1003-and-application-setup__lo-responsibilities-walking-the-1003__1003-mistakes.mp4,LF-Projects-Folder/LO Development/LO Development Platform Cutdown Library/videos/1003-and-application-setup__lo-responsibilities-walking-the-1003__1003-mistakes.mp4,Cutdown Clip Library,,,"restricted (link, not public)",LO Responsibilities: Walking the 1003 | playlist: LO Development Resource Clips
clip_thumbnail,lo-dev-003,lo-responsibilities-walking-the-1003,1003-and-application-setup__lo-responsibilities-walking-the-1003__1003-mistakes.jpg,LF-Projects-Folder/LO Development/LO Development Platform Cutdown Library/thumbnails/1003-and-application-setup__lo-responsibilities-walking-the-1003__1003-mistakes.jpg,Thumbnails,,,"restricted (link, not public)",Thumbnail for lo-dev-003
clip_caption,lo-dev-003,lo-responsibilities-walking-the-1003,1003-and-application-setup__lo-responsibilities-walking-the-1003__1003-mistakes.srt,LF-Projects-Folder/LO Development/LO Development Platform Cutdown Library/captions/1003-and-application-setup__lo-responsibilities-walking-the-1003__1003-mistakes.srt,Captions,,,"restricted (link, not public)",Caption for lo-dev-003
clip_markdown,lo-dev-003,lo-responsibilities-walking-the-1003,1003-and-application-setup__lo-responsibilities-walking-the-1003__1003-mistakes.md,LF-Projects-Folder/LO Development/LO Development Platform Cutdown Library/markdown/1003-and-application-setup__lo-responsibilities-walking-the-1003__1003-mistakes.md,Markdown Notes,,,"restricted (link, not public)",Markdown notes for lo-dev-003
clip_video,lo-dev-004,converting-the-loan,loan-submission__converting-the-loan__1003-mistakes.mp4,LF-Projects-Folder/LO Development/LO Development Platform Cutdown Library/videos/loan-submission__converting-the-loan__1003-mistakes.mp4,Cutdown Clip Library,,,"restricted (link, not public)",Converting the Loan | playlist: LO Development Resource Clips
clip_thumbnail,lo-dev-004,converting-the-loan,loan-submission__converting-the-loan__1003-mistakes.jpg,LF-Projects-Folder/LO Development/LO Development Platform Cutdown Library/thumbnails/loan-submission__converting-the-loan__1003-mistakes.jpg,Thumbnails,,,"restricted (link, not public)",Thumbnail for lo-dev-004
clip_caption,lo-dev-004,converting-the-loan,loan-submission__converting-the-loan__1003-mistakes.srt,LF-Projects-Folder/LO Development/LO Development Platform Cutdown Library/captions/loan-submission__converting-the-loan__1003-mistakes.srt,Captions,,,"restricted (link, not public)",Caption for lo-dev-004
clip_markdown,lo-dev-004,converting-the-loan,loan-submission__converting-the-loan__1003-mistakes.md,LF-Projects-Folder/LO Development/LO Development Platform Cutdown Library/markdown/loan-submission__converting-the-loan__1003-mistakes.md,Markdown Notes,,,"restricted (link, not public)",Markdown notes for lo-dev-004
clip_video,lo-dev-005,borrower-paid-versus-lender-paid,compensation-and-fees__borrower-paid-versus-lender-paid__1003-mistakes.mp4,LF-Projects-Folder/LO Development/LO Development Platform Cutdown Library/videos/compensation-and-fees__borrower-paid-versus-lender-paid__1003-mistakes.mp4,Cutdown Clip Library,,,"restricted (link, not public)",Borrower Paid versus Lender Paid | playlist: LO Development Resource Clips
clip_thumbnail,lo-dev-005,borrower-paid-versus-lender-paid,compensation-and-fees__borrower-paid-versus-lender-paid__1003-mistakes.jpg,LF-Projects-Folder/LO Development/LO Development Platform Cutdown Library/thumbnails/compensation-and-fees__borrower-paid-versus-lender-paid__1003-mistakes.jpg,Thumbnails,,,"restricted (link, not public)",Thumbnail for lo-dev-005
clip_caption,lo-dev-005,borrower-paid-versus-lender-paid,compensation-and-fees__borrower-paid-versus-lender-paid__1003-mistakes.srt,LF-Projects-Folder/LO Development/LO Development Platform Cutdown Library/captions/compensation-and-fees__borrower-paid-versus-lender-paid__1003-mistakes.srt,Captions,,,"restricted (link, not public)",Caption for lo-dev-005
clip_markdown,lo-dev-005,borrower-paid-versus-lender-paid,compensation-and-fees__borrower-paid-versus-lender-paid__1003-mistakes.md,LF-Projects-Folder/LO Development/LO Development Platform Cutdown Library/markdown/compensation-and-fees__borrower-paid-versus-lender-paid__1003-mistakes.md,Markdown Notes,,,"restricted (link, not public)",Markdown notes for lo-dev-005
clip_video,lo-dev-006,no-self-processing-requirement,compliance-and-process-reminders__no-self-processing-requirement__1003-mistakes.mp4,LF-Projects-Folder/LO Development/LO Development Platform Cutdown Library/videos/compliance-and-process-reminders__no-self-processing-requirement__1003-mistakes.mp4,Cutdown Clip Library,,,"restricted (link, not public)",No Self Processing Requirement | playlist: LO Development Resource Clips
clip_thumbnail,lo-dev-006,no-self-processing-requirement,compliance-and-process-reminders__no-self-processing-requirement__1003-mistakes.jpg,LF-Projects-Folder/LO Development/LO Development Platform Cutdown Library/thumbnails/compliance-and-process-reminders__no-self-processing-requirement__1003-mistakes.jpg,Thumbnails,,,"restricted (link, not public)",Thumbnail for lo-dev-006
clip_caption,lo-dev-006,no-self-processing-requirement,compliance-and-process-reminders__no-self-processing-requirement__1003-mistakes.srt,LF-Projects-Folder/LO Development/LO Development Platform Cutdown Library/captions/compliance-and-process-reminders__no-self-processing-requirement__1003-mistakes.srt,Captions,,,"restricted (link, not public)",Caption for lo-dev-006
clip_markdown,lo-dev-006,no-self-processing-requirement,compliance-and-process-reminders__no-self-processing-requirement__1003-mistakes.md,LF-Projects-Folder/LO Development/LO Development Platform Cutdown Library/markdown/compliance-and-process-reminders__no-self-processing-requirement__1003-mistakes.md,Markdown Notes,,,"restricted (link, not public)",Markdown notes for lo-dev-006
clip_video,lo-dev-007,community-property-states,1003-and-application-setup__community-property-states__1003-mistakes.mp4,LF-Projects-Folder/LO Development/LO Development Platform Cutdown Library/videos/1003-and-application-setup__community-property-states__1003-mistakes.mp4,Cutdown Clip Library,,,"restricted (link, not public)",Community Property States | playlist: LO Development Resource Clips
clip_thumbnail,lo-dev-007,community-property-states,1003-and-application-setup__community-property-states__1003-mistakes.jpg,LF-Projects-Folder/LO Development/LO Development Platform Cutdown Library/thumbnails/1003-and-application-setup__community-property-states__1003-mistakes.jpg,Thumbnails,,,"restricted (link, not public)",Thumbnail for lo-dev-007
clip_caption,lo-dev-007,community-property-states,1003-and-application-setup__community-property-states__1003-mistakes.srt,LF-Projects-Folder/LO Development/LO Development Platform Cutdown Library/captions/1003-and-application-setup__community-property-states__1003-mistakes.srt,Captions,,,"restricted (link, not public)",Caption for lo-dev-007
clip_markdown,lo-dev-007,community-property-states,1003-and-application-setup__community-property-states__1003-mistakes.md,LF-Projects-Folder/LO Development/LO Development Platform Cutdown Library/markdown/1003-and-application-setup__community-property-states__1003-mistakes.md,Markdown Notes,,,"restricted (link, not public)",Markdown notes for lo-dev-007
clip_video,lo-dev-008,self-employed-1099-income-and-underwriting-help,1003-and-application-setup__self-employed-1099-income-and-underwriting-help__1003-mistakes.mp4,LF-Projects-Folder/LO Development/LO Development Platform Cutdown Library/videos/1003-and-application-setup__self-employed-1099-income-and-underwriting-help__1003-mistakes.mp4,Cutdown Clip Library,,,"restricted (link, not public)",Self Employed 1099 Income and Underwriting Help | playlist: LO Development Resource Clips
clip_thumbnail,lo-dev-008,self-employed-1099-income-and-underwriting-help,1003-and-application-setup__self-employed-1099-income-and-underwriting-help__1003-mistakes.jpg,LF-Projects-Folder/LO Development/LO Development Platform Cutdown Library/thumbnails/1003-and-application-setup__self-employed-1099-income-and-underwriting-help__1003-mistakes.jpg,Thumbnails,,,"restricted (link, not public)",Thumbnail for lo-dev-008
clip_caption,lo-dev-008,self-employed-1099-income-and-underwriting-help,1003-and-application-setup__self-employed-1099-income-and-underwriting-help__1003-mistakes.srt,LF-Projects-Folder/LO Development/LO Development Platform Cutdown Library/captions/1003-and-application-setup__self-employed-1099-income-and-underwriting-help__1003-mistakes.srt,Captions,,,"restricted (link, not public)",Caption for lo-dev-008
clip_markdown,lo-dev-008,self-employed-1099-income-and-underwriting-help,1003-and-application-setup__self-employed-1099-income-and-underwriting-help__1003-mistakes.md,LF-Projects-Folder/LO Development/LO Development Platform Cutdown Library/markdown/1003-and-application-setup__self-employed-1099-income-and-underwriting-help__1003-mistakes.md,Markdown Notes,,,"restricted (link, not public)",Markdown notes for lo-dev-008
clip_video,lo-dev-009,student-loan-payments,1003-and-application-setup__student-loan-payments__1003-mistakes.mp4,LF-Projects-Folder/LO Development/LO Development Platform Cutdown Library/videos/1003-and-application-setup__student-loan-payments__1003-mistakes.mp4,Cutdown Clip Library,,,"restricted (link, not public)",Student Loan Payments | playlist: LO Development Resource Clips
clip_thumbnail,lo-dev-009,student-loan-payments,1003-and-application-setup__student-loan-payments__1003-mistakes.jpg,LF-Projects-Folder/LO Development/LO Development Platform Cutdown Library/thumbnails/1003-and-application-setup__student-loan-payments__1003-mistakes.jpg,Thumbnails,,,"restricted (link, not public)",Thumbnail for lo-dev-009
clip_caption,lo-dev-009,student-loan-payments,1003-and-application-setup__student-loan-payments__1003-mistakes.srt,LF-Projects-Folder/LO Development/LO Development Platform Cutdown Library/captions/1003-and-application-setup__student-loan-payments__1003-mistakes.srt,Captions,,,"restricted (link, not public)",Caption for lo-dev-009
clip_markdown,lo-dev-009,student-loan-payments,1003-and-application-setup__student-loan-payments__1003-mistakes.md,LF-Projects-Folder/LO Development/LO Development Platform Cutdown Library/markdown/1003-and-application-setup__student-loan-payments__1003-mistakes.md,Markdown Notes,,,"restricted (link, not public)",Markdown notes for lo-dev-009
clip_video,lo-dev-010,how-to-change-compensation-defaults,compensation-and-fees__how-to-change-compensation-defaults__1003-mistakes.mp4,LF-Projects-Folder/LO Development/LO Development Platform Cutdown Library/videos/compensation-and-fees__how-to-change-compensation-defaults__1003-mistakes.mp4,Cutdown Clip Library,,,"restricted (link, not public)",How to Change Compensation Defaults | playlist: LO Development Resource Clips
clip_thumbnail,lo-dev-010,how-to-change-compensation-defaults,compensation-and-fees__how-to-change-compensation-defaults__1003-mistakes.jpg,LF-Projects-Folder/LO Development/LO Development Platform Cutdown Library/thumbnails/compensation-and-fees__how-to-change-compensation-defaults__1003-mistakes.jpg,Thumbnails,,,"restricted (link, not public)",Thumbnail for lo-dev-010
clip_caption,lo-dev-010,how-to-change-compensation-defaults,compensation-and-fees__how-to-change-compensation-defaults__1003-mistakes.srt,LF-Projects-Folder/LO Development/LO Development Platform Cutdown Library/captions/compensation-and-fees__how-to-change-compensation-defaults__1003-mistakes.srt,Captions,,,"restricted (link, not public)",Caption for lo-dev-010
clip_markdown,lo-dev-010,how-to-change-compensation-defaults,compensation-and-fees__how-to-change-compensation-defaults__1003-mistakes.md,LF-Projects-Folder/LO Development/LO Development Platform Cutdown Library/markdown/compensation-and-fees__how-to-change-compensation-defaults__1003-mistakes.md,Markdown Notes,,,"restricted (link, not public)",Markdown notes for lo-dev-010
clip_video,lo-dev-011,rocket-pro-training-portal,marketplace__rocket-pro-training-portal__lo-kickoff.mp4,LF-Projects-Folder/LO Development/LO Development Platform Cutdown Library/videos/marketplace__rocket-pro-training-portal__lo-kickoff.mp4,Cutdown Clip Library,,,"restricted (link, not public)",Rocket Pro Training Portal | playlist: LO Development Resource Clips
clip_thumbnail,lo-dev-011,rocket-pro-training-portal,marketplace__rocket-pro-training-portal__lo-kickoff.jpg,LF-Projects-Folder/LO Development/LO Development Platform Cutdown Library/thumbnails/marketplace__rocket-pro-training-portal__lo-kickoff.jpg,Thumbnails,,,"restricted (link, not public)",Thumbnail for lo-dev-011
clip_caption,lo-dev-011,rocket-pro-training-portal,marketplace__rocket-pro-training-portal__lo-kickoff.srt,LF-Projects-Folder/LO Development/LO Development Platform Cutdown Library/captions/marketplace__rocket-pro-training-portal__lo-kickoff.srt,Captions,,,"restricted (link, not public)",Caption for lo-dev-011
clip_markdown,lo-dev-011,rocket-pro-training-portal,marketplace__rocket-pro-training-portal__lo-kickoff.md,LF-Projects-Folder/LO Development/LO Development Platform Cutdown Library/markdown/marketplace__rocket-pro-training-portal__lo-kickoff.md,Markdown Notes,,,"restricted (link, not public)",Markdown notes for lo-dev-011
