row_id,title_from_handoff,youtube_url,embed_url,transcript_source,word_count,short_transcript_summary,what_video_actually_covers,current_site_section,recommended_ai_advantage_section,recommended_lesson_page_title,current_site_placement_correct,mismatch_level,recommended_site_copy_adjustment,compliance_risk_flags,old_naming_flags,private_internal_content_flags,copy_fix_applied
TEST-001,"AI Advantage: AI Training Overview, Content Research and Automation",https://www.youtube.com/watch?v=c8zULkTrwGU,https://www.youtube.com/embed/c8zULkTrwGU,YouTube captions via yt-dlp,189,"Short orientation to AI Advantage content research, NotebookLM-style source work, Gmail automation ideas, and building a useful AI Twin workflow.","The clip introduces the training session, frames the goal as building social content, a source-grounded notebook, and Gmail automation support.",Foundations,Foundations,"AI Training Overview, Content Research, and Automation",Yes,OK,No copy change needed. Current title and placement match the spoken overview.,No material compliance flags found. Keep general AI draft-helper guardrail visible.,None found. No MOSO or standalone ELO wording detected in caption review.,No private borrower content identified in the caption review.,No
AIA-002,AI Advantage: AI Data Security for Loan Officers,https://www.youtube.com/watch?v=ozTujCSxaqE,https://www.youtube.com/embed/ozTujCSxaqE,YouTube captions via yt-dlp,234,Explains Gemini Pro / Loan Factory Google environment safety and contrasts it with public AI tools.,The speaker discusses which AI environment is safer for Loan Factory users and references examples of loan documents that could theoretically be handled in the company cloud.,Foundations,Foundations,AI Data Security for Loan Officers,Yes,MINOR,No app copy change applied. Current platform copy is intentionally stricter: do not paste borrower PII into AI tools without an approved future policy.,"Compliance caution: transcript mentions 1003, Fannie Mae 3.4, paystubs, and conditional approval examples. Keep the user-facing page stricter than the spoken example.",None found. No MOSO or standalone ELO wording detected in caption review.,"No actual borrower data was identified in captions, but the topic references sensitive loan document types.",No
AIA-003,AI Advantage: AI Powered Loan Status Updates,https://www.youtube.com/watch?v=5BPKlTxCJPU,https://www.youtube.com/embed/5BPKlTxCJPU,YouTube captions via yt-dlp,289,Shows how Gemini can use current-tab context and notes to help draft clearer loan status updates.,"Gmail/current-tab context, note-taking, status updates, and using AI to organize details before drafting a message.",Client Communication,Client Communication,AI-Powered Loan Status Updates,Yes,OK,No copy change needed.,Communication review caution: any generated status update must be reviewed for accuracy before sending.,None found. No MOSO or standalone ELO wording detected in caption review.,"Mentions workflow context and TERA, but no borrower PII was identified in captions.",No
AIA-004,AI Advantage: Automating your Daily Market Updates,https://www.youtube.com/watch?v=ti-AwZl14vk,https://www.youtube.com/embed/ti-AwZl14vk,YouTube captions via yt-dlp,246,"Walks through a daily market update automation concept using search, market news, hashtags, and social post drafts.","Daily recurring market content, Fed/jobs-data context, social post/reel/tiktok script ideas, and repeatable content timing.",Marketing & Content,Marketing & Content,Automating Your Daily Market Updates,Yes,OK,No copy change needed.,Marketing compliance caution: market commentary and rate-sensitive topics need review before public use.,None found. No MOSO or standalone ELO wording detected in caption review.,No private borrower content identified in captions.,No
AIA-005,AI Advantage: Dominating your Local Market with AI,https://www.youtube.com/watch?v=dynRVCanBGA,https://www.youtube.com/embed/dynRVCanBGA,YouTube captions via yt-dlp,335,"Focuses on local market visibility, Google Business Profile, and using AI to improve local content ideas.","Google Business Profile, local SEO, local content planning, review signals, and AI-assisted market positioning.",Marketing & Content,Google Business Profile / Local SEO under Marketing & Content,Dominating Your Local Market with AI,Yes,OK,No copy change needed. Current Marketing & Content parent placement is acceptable; GBP/local SEO is the more specific topic label.,"Compliance caution: avoid implying guaranteed lead volume, ranking, production, or application results from AI/GBP work.",None found. No MOSO or standalone ELO wording detected in caption review.,No private borrower content identified in captions.,No
AIA-006,AI Advantage: Drafting Client Emails in Gmail,https://www.youtube.com/watch?v=GBfe2N9Du64,https://www.youtube.com/embed/GBfe2N9Du64,YouTube captions via yt-dlp,334,Shows Gemini in Gmail helping draft client emails based on visible context.,"Gemini/Gmail side panel, AI Twin context, client email drafting, conditional approval wording, and reviewing drafts before use.",Client Communication,Client Communication,Drafting Client Emails in Gmail,Yes,OK,No copy change needed.,"Client communication caution: transcript references conditional approval language. Review accuracy, conditions, and compliance before any external send.",None found. No MOSO or standalone ELO wording detected in caption review.,No actual borrower PII identified in captions; demo content includes loan-process examples.,No
AIA-007,AI Advantage: Finalizing your Gemini Gem Setup,https://www.youtube.com/watch?v=Saz-qFxCu1Y,https://www.youtube.com/embed/Saz-qFxCu1Y,YouTube captions via yt-dlp,215,Continues Gemini Gem setup by copying generated instructions into a new Gem and naming the assistant.,"Gemini Gem creation, Gem instructions, personal assistant naming, and final setup steps.",AI Twin Setup,AI Twin Setup,Finalizing Your Gemini Gem Setup,Yes,OK,No copy change needed.,No material compliance flags. Keep setup instructions framed as draft-helper configuration.,None found. No MOSO or standalone ELO wording detected in caption review.,No private borrower content identified in captions.,No
AIA-008,AI Advantage: Gemini Gems vs Generic AI,https://www.youtube.com/watch?v=3LzjDAMkk04,https://www.youtube.com/embed/3LzjDAMkk04,YouTube captions via yt-dlp,273,Explains why a Gemini Gem / AI Twin can be more useful than generic AI output for loan officer tone and workflows.,"Generic AI limitations, personalized Gemini Gem behavior, tone, and role-specific setup benefits.",AI Twin Setup,AI Twin Setup,Gemini Gems vs Generic AI,Yes,OK,No copy change needed.,No material compliance flags. Avoid presenting AI output as final compliance or business advice.,None found. No MOSO or standalone ELO wording detected in caption review.,No private borrower content identified in captions.,No
AIA-009,AI Advantage: Improving AI Tone with Bio Docs,https://www.youtube.com/watch?v=L_FBdXpkYG0,https://www.youtube.com/embed/L_FBdXpkYG0,YouTube captions via yt-dlp,449,Discusses adding biography and background details so the AI Twin can better match personal tone.,"Personalization, tone tuning, user background notes, ChatGPT/Gemini memory differences, and avoiding generic writing.",AI Twin Setup,AI Twin Setup,Improving AI Tone with Bio Docs,Yes,OK,No copy change needed.,"Privacy caution: users should only add approved personal/business context, not borrower PII or sensitive private documents.",None found. No MOSO or standalone ELO wording detected in caption review.,"Personal background examples are discussed, but no borrower PII was identified in captions.",No
AIA-010,AI Advantage: Multi Language Content Strategy,https://www.youtube.com/watch?v=uBSDv9RVgaQ,https://www.youtube.com/embed/uBSDv9RVgaQ,YouTube captions via yt-dlp,230,Answers how to structure an AI Twin so it can draft in Spanish and English.,"Bilingual content setup, Spanish/English toggle behavior, translated/localized instructions, and tone/context control.",Marketing & Content,Marketing & Content,Multi-Language Content Strategy,Yes,OK,No copy change needed.,Fair lending/localization caution: review translated or localized public marketing for inclusive language and compliance.,None found. No MOSO or standalone ELO wording detected in caption review.,No private borrower content identified in captions.,No
